YM,monthNumber,TAVG_Celsius,avgTempsC,month,Diff
199711,11,0.240740741,0.323512421,November,-0.08277168
199712,12,-3.333333333,-4.168044077,December,0.834710744
199801,1,-1.720430108,-5.877342419,January,4.156912312
199802,2,-4.444444444,-6.990482102,February,2.546037658
199803,3,-4.211469534,-3.841269841,March,-0.370199693
199804,4,2.944444444,2.427875244,April,0.516569201
199805,5,10.44802867,9.522613065,May,0.925415609
199806,6,14.61111111,14.71189774,June,-0.100786627
199807,7,16.30824373,16.49888143,July,-0.190637704
199808,8,13.76344086,15.02207506,August,-1.258634195
199809,9,11.7037037,9.91091954,September,1.792784163
199810,10,5.913978495,4.947222222,October,0.966756272
199811,11,-3.314814815,0.323512421,November,-3.638327235
199812,12,-1.989247312,-4.168044077,December,2.178796765
199901,1,-5.481481481,-5.877342419,January,0.395860938
199902,2,-7.123015873,-6.990482102,February,-0.132533771
199903,3,-1.272401434,-3.841269841,March,2.568868408
199904,4,5.907407407,2.427875244,April,3.479532164
199905,5,8.100358423,9.522613065,May,-1.422254642
199906,6,18.55555556,14.71189774,June,3.843657817
199907,7,19.31899642,16.49888143,July,2.820114984
199908,8,15.50179211,15.02207506,August,0.47971706
199909,9,12.92592593,9.91091954,September,3.015006386
199910,10,6.863799283,4.947222222,October,1.916577061
199911,11,2.722222222,0.323512421,November,2.398709802
199912,12,-2.078853047,-4.168044077,December,2.089191031
200001,1,-2.724014337,-5.877342419,January,3.153328082
200002,2,-2.356321839,-6.990482102,February,4.634160263
200003,3,-0.627240143,-3.841269841,March,3.214029698
200004,4,6.425925926,2.427875244,April,3.998050682
200005,5,10.94982079,9.522613065,May,1.427207723
200006,6,14.5,14.71189774,June,-0.211897738
200007,7,16.97132616,16.49888143,July,0.472444733
200008,8,15.55555556,15.02207506,August,0.5334805
200009,9,9.740740741,9.91091954,September,-0.170178799
200010,10,8.978494624,4.947222222,October,4.031272401
200011,11,4.666666667,0.323512421,November,4.343154246
200012,12,1.254480287,-4.168044077,December,5.422524364
200101,1,-2.114695341,-5.877342419,January,3.762647079
200102,2,-7.896825397,-6.990482102,February,-0.906343295
200103,3,-3.584229391,-3.841269841,March,0.257040451
200104,4,5.5,2.427875244,April,3.072124756
200105,5,9.641577061,9.522613065,May,0.118963996
200106,6,14.2037037,14.71189774,June,-0.508194035
200107,7,20.41218638,16.49888143,July,3.913304948
200108,8,16.39784946,15.02207506,August,1.375774407
200109,9,12.14814815,9.91091954,September,2.237228608
200110,10,8.136200717,4.947222222,October,3.188978495
200111,11,-0.018518519,0.323512421,November,-0.342030939
200112,12,-7.0609319,-4.168044077,December,-2.892887823
200201,1,-3.512544803,-5.877342419,January,2.364797616
200202,2,-0.813492063,-6.990482102,February,6.176990039
200203,3,0.358422939,-3.841269841,March,4.19969278
200204,4,5.796296296,2.427875244,April,3.368421053
200205,5,12.0609319,9.522613065,May,2.538318834
200206,6,16.37037037,14.71189774,June,1.658472632
200207,7,19.390681,16.49888143,July,2.891799572
200208,8,19.37275986,15.02207506,August,4.350684801
200209,9,11.2037037,9.91091954,September,1.292784163
200210,10,0.591397849,4.947222222,October,-4.355824373
200211,11,-2.777777778,0.323512421,November,-3.101290198
200212,12,-8.207885305,-4.168044077,December,-4.039841228
200301,1,-9.802867384,-5.877342419,January,-3.925524964
200302,2,-5.753968254,-6.990482102,February,1.236513848
200303,3,-1.487455197,-3.841269841,March,2.353814644
200304,4,2.5,2.427875244,April,0.072124756
200305,5,9.856630824,9.522613065,May,0.334017759
200306,6,13.11111111,14.71189774,June,-1.600786627
200307,7,20.32258065,16.49888143,July,3.823699213
200308,8,15.91397849,15.02207506,August,0.891903439
200309,9,11.5,9.91091954,September,1.58908046
200310,10,3.548387097,4.947222222,October,-1.398835125
