,YM,monthNumber,TAVG_Celsius,avgTempsC,month,Diff
112,196105,05,9.89247311827957,9.522613065326631,May,0.369860052952939
113,196106,06,16.999999999999996,14.711897738446416,June,2.288102261553581
114,196107,07,15.86021505376344,16.498881431767344,July,-0.6386663780039044
115,196108,08,14.175627240143372,15.022075055187633,August,-0.8464478150442609
116,196109,09,9.722222222222223,9.910919540229894,September,-0.1886973180076712
117,196110,10,8.655913978494622,4.947222222222226,October,3.708691756272396
118,196111,11,1.7222222222222225,0.3235124205661469,November,1.3987098016560757
119,196112,12,-5.0716845878136185,-4.1680440771349865,December,-0.903640510678632
120,196201,01,-3.655913978494623,-5.8773424190800645,January,2.2214284405854414
121,196202,02,-5.198412698412699,-6.99048210221395,February,1.7920694038012517
122,196203,03,-7.4910394265232965,-3.8412698412698436,March,-3.649769585253453
123,196204,04,3.777777777777778,2.4278752436647184,April,1.3499025341130597
124,196205,05,8.584229390681005,9.522613065326631,May,-0.9383836746456264
125,196206,06,12.037037037037035,14.711897738446416,June,-2.674860701409381
126,196207,07,14.623655913978496,16.498881431767344,July,-1.8752255177888486
127,196208,08,13.028673835125447,15.022075055187633,August,-1.9934012200621858
128,196209,09,9.370370370370372,9.910919540229894,September,-0.5405491698595224
129,196210,10,6.792114695340501,4.947222222222226,October,1.844892473118275
130,196211,11,1.5,0.3235124205661469,November,1.1764875794338532
131,196212,12,-6.810035842293907,-4.1680440771349865,December,-2.64199176515892
132,196301,01,-9.892473118279572,-5.8773424190800645,January,-4.015130699199507
133,196302,02,-10.833333333333332,-6.99048210221395,February,-3.842851231119382
134,196303,03,-8.727598566308245,-3.8412698412698436,March,-4.8863287250384015
135,196304,04,2.814814814814815,2.4278752436647184,April,0.3869395711500965
136,196305,05,13.207885304659497,9.522613065326631,May,3.685272239332866
137,196306,06,14.82758620689655,14.711897738446416,June,0.11568846845013425
138,196307,07,16.881720430107528,16.498881431767344,July,0.3828389983401834
139,196308,08,16.344086021505376,15.022075055187633,August,1.3220109663177428
140,196309,09,12.629629629629632,9.910919540229894,September,2.718710089399737
141,196310,10,6.021505376344087,4.947222222222226,October,1.0742831541218605
142,196311,11,-0.18518518518518506,0.3235124205661469,November,-0.5086976057513319
143,196312,12,-4.139784946236561,-4.1680440771349865,December,0.02825913089842569
144,196401,01,,-5.8773424190800645,January,
145,196402,02,,-6.99048210221395,February,
146,196403,03,,-3.8412698412698436,March,
147,196404,04,,2.4278752436647184,April,
148,196405,05,,9.522613065326631,May,
149,196406,06,,14.711897738446416,June,
150,196407,07,,16.498881431767344,July,
151,196408,08,,15.022075055187633,August,
152,196409,09,,9.910919540229894,September,
153,196410,10,,4.947222222222226,October,
154,196411,11,,0.3235124205661469,November,
155,196412,12,,-4.1680440771349865,December,
156,196501,01,,-5.8773424190800645,January,
157,196502,02,,-6.99048210221395,February,
158,196503,03,,-3.8412698412698436,March,
159,196504,04,,2.4278752436647184,April,
160,196505,05,,9.522613065326631,May,
161,196506,06,,14.711897738446416,June,
162,196507,07,,16.498881431767344,July,
163,196508,08,,15.022075055187633,August,
164,196509,09,,9.910919540229894,September,
165,196510,10,,4.947222222222226,October,
166,196511,11,,0.3235124205661469,November,
167,196512,12,,-4.1680440771349865,December,
168,196601,01,,-5.8773424190800645,January,
169,196602,02,,-6.99048210221395,February,
170,196603,03,,-3.8412698412698436,March,
171,196604,04,,2.4278752436647184,April,
172,196605,05,,9.522613065326631,May,
173,196606,06,,14.711897738446416,June,
174,196607,07,,16.498881431767344,July,
175,196608,08,,15.022075055187633,August,
176,196609,09,,9.910919540229894,September,
177,196610,10,,4.947222222222226,October,
178,196611,11,,0.3235124205661469,November,
179,196612,12,,-4.1680440771349865,December,
180,196701,01,,-5.8773424190800645,January,
181,196702,02,,-6.99048210221395,February,
182,196703,03,,-3.8412698412698436,March,
183,196704,04,,2.4278752436647184,April,
184,196705,05,,9.522613065326631,May,
185,196706,06,,14.711897738446416,June,
186,196707,07,,16.498881431767344,July,
187,196708,08,,15.022075055187633,August,
188,196709,09,,9.910919540229894,September,
189,196710,10,,4.947222222222226,October,
190,196711,11,,0.3235124205661469,November,
191,196712,12,,-4.1680440771349865,December,
192,196801,01,,-5.8773424190800645,January,
193,196802,02,,-6.99048210221395,February,
194,196803,03,,-3.8412698412698436,March,
195,196804,04,,2.4278752436647184,April,
196,196805,05,,9.522613065326631,May,
197,196806,06,,14.711897738446416,June,
198,196807,07,,16.498881431767344,July,
199,196808,08,,15.022075055187633,August,
200,196809,09,,9.910919540229894,September,
201,196810,10,,4.947222222222226,October,
202,196811,11,,0.3235124205661469,November,
203,196812,12,,-4.1680440771349865,December,
204,196901,01,,-5.8773424190800645,January,
205,196902,02,,-6.99048210221395,February,
206,196903,03,,-3.8412698412698436,March,
207,196904,04,,2.4278752436647184,April,
208,196905,05,,9.522613065326631,May,
209,196906,06,,14.711897738446416,June,
210,196907,07,,16.498881431767344,July,
211,196908,08,,15.022075055187633,August,
212,196909,09,,9.910919540229894,September,
213,196910,10,,4.947222222222226,October,
214,196911,11,,0.3235124205661469,November,
215,196912,12,,-4.1680440771349865,December,
216,197001,01,,-5.8773424190800645,January,
217,197002,02,,-6.99048210221395,February,
218,197003,03,,-3.8412698412698436,March,
219,197004,04,,2.4278752436647184,April,
220,197005,05,,9.522613065326631,May,
221,197006,06,,14.711897738446416,June,
222,197007,07,,16.498881431767344,July,
223,197008,08,,15.022075055187633,August,
224,197009,09,,9.910919540229894,September,
225,197010,10,,4.947222222222226,October,
226,197011,11,,0.3235124205661469,November,
227,197012,12,,-4.1680440771349865,December,
228,197101,01,,-5.8773424190800645,January,
229,197102,02,,-6.99048210221395,February,
230,197103,03,,-3.8412698412698436,March,
231,197104,04,,2.4278752436647184,April,
232,197105,05,,9.522613065326631,May,
233,197106,06,,14.711897738446416,June,
234,197107,07,,16.498881431767344,July,
235,197108,08,,15.022075055187633,August,
236,197109,09,,9.910919540229894,September,
237,197110,10,,4.947222222222226,October,
238,197111,11,,0.3235124205661469,November,
239,197112,12,,-4.1680440771349865,December,
240,197201,01,,-5.8773424190800645,January,
241,197202,02,,-6.99048210221395,February,
242,197203,03,,-3.8412698412698436,March,
243,197204,04,,2.4278752436647184,April,
244,197205,05,,9.522613065326631,May,
245,197206,06,,14.711897738446416,June,
246,197207,07,,16.498881431767344,July,
247,197208,08,,15.022075055187633,August,
248,197209,09,,9.910919540229894,September,
249,197210,10,,4.947222222222226,October,
250,197211,11,,0.3235124205661469,November,
251,197212,12,,-4.1680440771349865,December,
252,197301,01,-1.9713261648745524,-5.8773424190800645,January,3.906016254205512
253,197302,02,-4.583333333333333,-6.99048210221395,February,2.4071487688806172
254,197303,03,-1.2186379928315407,-3.8412698412698436,March,2.622631848438303
255,197304,04,2.666666666666667,2.4278752436647184,April,0.23879142300194856
256,197305,05,10.161290322580648,9.522613065326631,May,0.6386772572540167
257,197306,06,16.74074074074074,14.711897738446416,June,2.028843002294325
258,197307,07,19.731182795698928,16.498881431767344,July,3.232301363931583
259,197308,08,14.910394265232977,15.022075055187633,August,-0.11168078995465613
260,197309,09,6.907407407407407,9.910919540229894,September,-3.003512132822487
261,197310,10,2.2401433691756267,4.947222222222226,October,-2.7070788530465997
262,197311,11,-3.037037037037037,0.3235124205661469,November,-3.360549457603184
263,197312,12,-6.559139784946238,-4.1680440771349865,December,-2.3910957078112514
264,197401,01,-2.921146953405018,-5.8773424190800645,January,2.9561954656750467
265,197402,02,-0.5158730158730158,-6.99048210221395,February,6.4746090863409345
266,197403,03,-1.1648745519713257,-3.8412698412698436,March,2.676395289298518
267,197404,04,2.6666666666666665,2.4278752436647184,April,0.2387914230019481
268,197405,05,7.132616487455197,9.522613065326631,May,-2.3899965778714343
269,197406,06,14.351851851851851,14.711897738446416,June,-0.3600458865945644
270,197407,07,15.698924731182796,16.498881431767344,July,-0.7999567005845485
271,197408,08,14.677419354838708,15.022075055187633,August,-0.344655700348925
272,197409,09,12.222222222222221,9.910919540229894,September,2.311302681992327
273,197410,10,5.681003584229392,4.947222222222226,October,0.7337813620071651
274,197411,11,2.2037037037037033,0.3235124205661469,November,1.8801912831375565
275,197412,12,0.7347670250896065,-4.1680440771349865,December,4.902811102224593
276,197501,01,-1.3799283154121866,-5.8773424190800645,January,4.497414103667878
277,197502,02,-2.956349206349207,-6.99048210221395,February,4.034132895864744
278,197503,03,-0.35842293906810047,-3.8412698412698436,March,3.482846902201743
279,197504,04,3.3333333333333335,2.4278752436647184,April,0.9054580896686151
280,197505,05,11.88888888888889,9.522613065326631,May,2.3662758235622583
281,197506,06,13.666666666666664,14.711897738446416,June,-1.0452310717797513
282,197507,07,17.706093189964157,16.498881431767344,July,1.207211758196813
283,197508,08,16.36200716845878,15.022075055187633,August,1.3399321132711481
284,197509,09,12.87037037037037,9.910919540229894,September,2.959450830140476
285,197510,10,4.82078853046595,4.947222222222226,October,-0.12643369175627672
286,197511,11,1.166666666666667,0.3235124205661469,November,0.8431542461005201
287,197512,12,-1.8637992831541215,-4.1680440771349865,December,2.304244793980865
288,197601,01,-9.946236559139784,-5.8773424190800645,January,-4.06889414005972
289,197602,02,-7.10727969348659,-6.99048210221395,February,-0.11679759127263978
290,197603,03,-4.82078853046595,-3.8412698412698436,March,-0.9795186891961061
291,197604,04,2.1111111111111107,2.4278752436647184,April,-0.3167641325536077
292,197605,05,11.200716845878137,9.522613065326631,May,1.6781037805515062
293,197606,06,12.888888888888891,14.711897738446416,June,-1.8230088495575245
294,197607,07,15.734767025089607,16.498881431767344,July,-0.7641144066777379
295,197608,08,15.358422939068097,15.022075055187633,August,0.3363478838804639
296,197609,09,8.185185185185185,9.910919540229894,September,-1.7257343550447093
297,197610,10,1.7025089605734767,4.947222222222226,October,-3.2447132616487497
298,197611,11,0.7407407407407406,0.3235124205661469,November,0.4172283201745937
299,197612,12,-4.318996415770608,-4.1680440771349865,December,-0.15095233863562196
300,197701,01,-6.451612903225806,-5.8773424190800645,January,-0.5742704841457416
301,197702,02,-8.90873015873016,-6.99048210221395,February,-1.9182480565162097
302,197703,03,-2.168458781362006,-3.8412698412698436,March,1.6728110599078376
303,197704,04,1.759259259259259,2.4278752436647184,April,-0.6686159844054593
304,197705,05,9.53405017921147,9.522613065326631,May,0.011437113884838368
305,197706,06,14.333333333333332,14.711897738446416,June,-0.3785644051130834
306,197707,07,14.856630824372763,16.498881431767344,July,-1.6422506073945815
307,197708,08,14.695340501792115,15.022075055187633,August,-0.32673455339551793
308,197709,09,8.351851851851853,9.910919540229894,September,-1.5590676883780414
309,197710,10,5.3584229390681,4.947222222222226,October,0.41120071684587334
310,197711,11,1.740740740740741,0.3235124205661469,November,1.417228320174594
311,197712,12,-3.7992831541218637,-4.1680440771349865,December,0.3687609230131228
312,197801,01,-5.806451612903226,-5.8773424190800645,January,0.07089080617683852
313,197802,02,-11.388888888888888,-6.99048210221395,February,-4.398406786674937
314,197803,03,-2.616487455197132,-3.8412698412698436,March,1.2247823860727114
315,197804,04,2.1666666666666665,2.4278752436647184,April,-0.2612085769980519
316,197805,05,10.663082437275984,9.522613065326631,May,1.1404693719493526
317,197806,06,14.666666666666664,14.711897738446416,June,-0.045231071779751275
318,197807,07,15.125448028673835,16.498881431767344,July,-1.3734334030935091
319,197808,08,13.548387096774196,15.022075055187633,August,-1.4736879584134375
320,197809,09,8.388888888888891,9.910919540229894,September,-1.5220306513410033
321,197810,10,3.9605734767025087,4.947222222222226,October,-0.9866487455197177
322,197811,11,1.9999999999999996,0.3235124205661469,November,1.6764875794338527
323,197812,12,-12.759856630824371,-4.1680440771349865,December,-8.591812553689385
324,197901,01,-8.655913978494626,-5.8773424190800645,January,-2.7785715594145612
325,197902,02,-9.880952380952381,-6.99048210221395,February,-2.890470278738431
326,197903,03,-1.9892473118279568,-3.8412698412698436,March,1.8520225294418868
327,197904,04,1.6851851851851845,2.4278752436647184,April,-0.742690058479534
328,197905,05,10.555555555555554,9.522613065326631,May,1.0329424902289226
329,197906,06,16.01851851851852,14.711897738446416,June,1.3066207800721035
330,197907,07,14.838709677419354,16.498881431767344,July,-1.6601717543479904
331,197908,08,16.09318996415771,15.022075055187633,August,1.0711149089700758
332,197909,09,9.574074074074074,9.910919540229894,September,-0.33684546615582
333,197910,10,3.9068100358422932,4.947222222222226,October,-1.0404121863799332
334,197911,11,1.3888888888888886,0.3235124205661469,November,1.0653764683227418
335,197912,12,-3.817204301075269,-4.1680440771349865,December,0.3508397760597175
336,198001,01,-8.835125448028675,-5.8773424190800645,January,-2.9577830289486107
337,198002,02,-8.275862068965518,-6.99048210221395,February,-1.2853799667515675
338,198003,03,-6.1648745519713275,-3.8412698412698436,March,-2.323604710701484
339,198004,04,4.777777777777778,2.4278752436647184,April,2.3499025341130593
340,198005,05,7.150537634408604,9.522613065326631,May,-2.372075430918027
341,198006,06,16.81481481481482,14.711897738446416,June,2.1029170763684046
342,198007,07,16.720430107526884,16.498881431767344,July,0.2215486757595393
343,198008,08,14.784946236559145,15.022075055187633,August,-0.2371288186284879
344,198009,09,10.814814814814813,9.910919540229894,September,0.9038952745849187
345,198010,10,5.232974910394265,4.947222222222226,October,0.2857526881720389
346,198011,11,-2.462962962962963,0.3235124205661469,November,-2.7864753835291096
347,198012,12,-2.9749103942652333,-4.1680440771349865,December,1.1931336828697532
348,198101,01,-4.103942652329749,-5.8773424190800645,January,1.7733997667503152
349,198102,02,-6.071428571428572,-6.99048210221395,February,0.9190535307853782
350,198103,03,-5.788530465949822,-3.8412698412698436,March,-1.947260624679978
351,198104,04,1.6851851851851856,2.4278752436647184,April,-0.7426900584795328
352,198105,05,11.075268817204302,9.522613065326631,May,1.552655751877671
353,198106,06,12.925925925925924,14.711897738446416,June,-1.7859718125204918
354,198107,07,16.559139784946236,16.498881431767344,July,0.06025835317889161
355,198108,08,13.924731182795698,15.022075055187633,August,-1.097343872391935
356,198109,09,10.277777777777777,9.910919540229894,September,0.3668582375478824
357,198110,10,6.057347670250895,4.947222222222226,October,1.1101254480286684
358,198111,11,-0.018518518518518535,0.3235124205661469,November,-0.3420309390846654
359,198112,12,-6.075268817204301,-4.1680440771349865,December,-1.9072247400693145
360,198201,01,-10.358422939068099,-5.8773424190800645,January,-4.481080519988034
361,198202,02,-5.7142857142857135,-6.99048210221395,February,1.2761963879282368
362,198203,03,-0.35842293906810024,-3.8412698412698436,March,3.4828469022017434
363,198204,04,2.685185185185185,2.4278752436647184,April,0.2573099415204667
364,198205,05,9.175627240143367,9.522613065326631,May,-0.34698582518326404
365,198206,06,11.555555555555554,14.711897738446416,June,-3.156342182890862
366,198207,07,17.043010752688176,16.498881431767344,July,0.5441293209208311
367,198208,08,15.663082437275987,15.022075055187633,August,0.641007382088354
368,198209,09,10.222222222222221,9.910919540229894,September,0.311302681992327
369,198210,10,4.928315412186379,4.947222222222226,October,-0.0189068100358476
370,198211,11,3.555555555555556,0.3235124205661469,November,3.232043134989409
371,198212,12,-0.17921146953405012,-4.1680440771349865,December,3.988832607600936
372,198301,01,-1.5591397849462365,-5.8773424190800645,January,4.3182026341338275
373,198302,02,-8.055555555555555,-6.99048210221395,February,-1.065073453341605
374,198303,03,-2.652329749103942,-3.8412698412698436,March,1.1889400921659017
375,198304,04,5.203703703703703,2.4278752436647184,April,2.775828460038985
376,198305,05,11.541218637992829,9.522613065326631,May,2.018605572666198
377,198306,06,13.537037037037038,14.711897738446416,June,-1.1748607014093775
378,198307,07,17.79569892473118,16.498881431767344,July,1.2968174929638359
379,198308,08,15.663082437275984,15.022075055187633,August,0.6410073820883504
380,198309,09,11.38888888888889,9.910919540229894,September,1.4779693486589949
381,198310,10,5.842293906810034,4.947222222222226,October,0.8950716845878075
382,198311,11,-1.6296296296296295,0.3235124205661469,November,-1.9531420501957764
383,198312,12,-2.6344086021505375,-4.1680440771349865,December,1.533635474984449
384,198401,01,-4.390681003584229,-5.8773424190800645,January,1.4866614154958357
385,198402,02,-5.689655172413792,-6.99048210221395,February,1.3008269298001585
386,198403,03,-4.17562724014337,-3.8412698412698436,March,-0.334357398873526
387,198404,04,4.685185185185185,2.4278752436647184,April,2.2573099415204667
388,198405,05,12.75985663082437,9.522613065326631,May,3.2372435654977387
389,198406,06,13.944444444444441,14.711897738446416,June,-0.7674532940019745
390,198407,07,15.161290322580642,16.498881431767344,July,-1.337591109186702
391,198408,08,14.910394265232974,15.022075055187633,August,-0.11168078995465969
392,198409,09,9.851851851851851,9.910919540229894,September,-0.059067688378043215
393,198410,10,7.1326164874551985,4.947222222222226,October,2.185394265232972
394,198411,11,1.1851851851851842,0.3235124205661469,November,0.8616727646190374
395,198412,12,-1.9534050179211468,-4.1680440771349865,December,2.2146390592138396
396,198501,01,-15.519713261648747,-5.8773424190800645,January,-9.642370842568681
397,198502,02,-15.119047619047617,-6.99048210221395,February,-8.128565516833667
398,198503,03,-2.508960573476703,-3.8412698412698436,March,1.3323092677931405
399,198504,04,1.0740740740740742,2.4278752436647184,April,-1.3538011695906442
400,198505,05,9.42652329749104,9.522613065326631,May,-0.09608976783559164
401,198506,06,13.425925925925927,14.711897738446416,June,-1.2859718125204882
402,198507,07,15.806451612903224,16.498881431767344,July,-0.6924298188641203
403,198508,08,16.129032258064516,15.022075055187633,August,1.1069572028768828
404,198509,09,9.185185185185183,9.910919540229894,September,-0.7257343550447111
405,198510,10,6.935483870967741,4.947222222222226,October,1.9882616487455147
406,198511,11,-1.3518518518518516,0.3235124205661469,November,-1.6753642724179985
407,198512,12,-6.46953405017921,-4.1680440771349865,December,-2.301489973044223
408,198601,01,-7.903225806451613,-5.8773424190800645,January,-2.0258833873715485
409,198602,02,-11.60714285714286,-6.99048210221395,February,-4.616660754928909
410,198603,03,-1.2222222222222217,-3.8412698412698436,March,2.619047619047622
411,198604,04,0.5555555555555556,2.4278752436647184,April,-1.8723196881091628
412,198605,05,10.878136200716845,9.522613065326631,May,1.3555231353902144
413,198606,06,16.833333333333336,14.711897738446416,June,2.12143559488692
414,198607,07,17.1505376344086,16.498881431767344,July,0.6516562026412558
415,198608,08,13.781362007168457,15.022075055187633,August,-1.2407130480191757
416,198609,09,7.074074074074074,9.910919540229894,September,-2.83684546615582
417,198610,10,5.663082437275986,4.947222222222226,October,0.7158602150537599
418,198611,11,3.6851851851851842,0.3235124205661469,November,3.3616727646190374
419,198612,12,-7.043010752688171,-4.1680440771349865,December,-2.8749666755531846
420,198701,01,-17.974910394265233,-5.8773424190800645,January,-12.097567975185168
421,198702,02,-6.845238095238095,-6.99048210221395,February,0.14524400697585538
422,198703,03,-6.218637992831541,-3.8412698412698436,March,-2.377368151561697
423,198704,04,2.6296296296296293,2.4278752436647184,April,0.2017543859649109
424,198705,05,8.369175627240143,9.522613065326631,May,-1.1534374380864882
425,198706,06,12.685185185185183,14.711897738446416,June,-2.0267125532612322
426,198707,07,15.358422939068102,16.498881431767344,July,-1.140458492699242
427,198708,08,12.526881720430108,15.022075055187633,August,-2.4951933347575252
428,198709,09,8.944444444444446,9.910919540229894,September,-0.966475095785448
429,198710,10,6.971326164874551,4.947222222222226,October,2.0241039426523244
430,198711,11,-0.5,0.3235124205661469,November,-0.8235124205661468
431,198712,12,-4.713261648745521,-4.1680440771349865,December,-0.5452175716105341
432,198801,01,-2.5806451612903225,-5.8773424190800645,January,3.296697257789742
433,198802,02,-4.080459770114942,-6.99048210221395,February,2.9100223320990084
434,198803,03,-3.0824372759856633,-3.8412698412698436,March,0.7588325652841803
435,198804,04,1.648148148148148,2.4278752436647184,April,-0.7797270955165705
436,198805,05,12.114695340501793,9.522613065326631,May,2.592082275175162
437,198806,06,17.27777777777778,14.711897738446416,June,2.565880039331363
438,198807,07,19.767025089605735,16.498881431767344,July,3.2681436578383902
